Name,Price,Stars,Score,Spoken Language,Reviews,Location,Floors,Rooms,Resturents,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Elevator,Hair Dryer,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score
Kimpton Kitalay Samui (SHA Extra Plus),937,5 star,"9.2
Exceptional
460 reviews","English, Burmese, Chinese [Mandarin], French, German, Greek, Lao, Spanish, Thai",460 reviews,"10/79 Moo 5. Bophut , Choengmon, Koh Samui, Thailand, 84320",2,5,3,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,True,0,9.7,9.7,9.0,9.4,9.1
Vana Belle a Luxury Collection Resort Koh Samui,"1,335",5 star,"9.3
Exceptional
284 reviews","English, Chinese [Mandarin], German, Japanese, Korean, Thai",284 reviews,"9/99 Moo 3, Chaweng Noi Beach, Chaweng Noi, Koh Samui, Thailand, 84320",3,79,2,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,0,9.5,9.5,9.1,9.3,9.6
Tango Luxe Samui Beach Villa (SHA Extra Plus),599,4 star,"8.8
Excellent
762 reviews","English, Chinese [Mandarin], Filipino, Thai",762 reviews,"79/100, Moo 5, T. Bophut, Plai Laem, Choengmon, Koh Samui, Thailand, 84320",2,2,1,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,0,9.2,8.9,8.0,8.9,9.3
Secret Garden Beach Resort,JMI,3.5 star,"8.7
Excellent
362 reviews","English, Thai",362 reviews,"22/1 Moo 4, Ban Bangrak, Big Buddha Beach, Suratthani, Bo Phut, Koh Samui, Thailand, 84320",1,14,1,True,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,4,9.1,8.5,8.3,8.8,9.2
Baan Haad Ngam Boutique Resort & Villa (SHA Plus+),189,4 star,"8.3
Excellent
1,665 reviews","English, Chinese [Cantonese], Chinese [Mandarin], Thai","1,665 reviews","154 Moo 2, Chaweng Beach, Bophut, Chaweng, Koh Samui, Thailand, 84320",3,58,1,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,4,8.6,8.1,8.1,8.5,8.7
Hansar Samui Resort (SHA Extra Plus),368,5 star,"9.0
Exceptional
4,093 reviews","English, Chinese [Mandarin], Thai","4,093 reviews","101/28 Moo1, Surat Thani, Bo Phut, Koh Samui, Thailand, 84320",3,74,1,True,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,11,9.2,8.9,9.3,9.0,9.2
Lub d Koh Samui Chaweng Beach (SHA Plus+),192,3 star,"9.1
Exceptional
1,214 reviews","English, French, Greek, Thai","1,214 reviews","159/99 Moo 2, Bophut, Koh Samui, Suratthani, Thailand 84320, Chaweng, Koh Samui, Thailand, 84320",4,124,1,True,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,0,9.3,9.1,9.5,9.1,8.9
Chaweng Regent Beach Resort (SHA Extra Plus),363,4.5 star,"8.2
Excellent
2,185 reviews","English, Chinese [Mandarin], Thai","2,185 reviews","155/4, Chaweng, Koh Samui, Thailand, 84320",2,139,2,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,0,8.4,8.3,9.1,8.3,8.3
Nora Beach Resort & Spa (SHA Extra Plus),299,4 star,"8.3
Excellent
1,350 reviews","English, Chinese [Mandarin], Filipino, Thai","1,350 reviews","222 Moo 2, Bophut, Chaweng, Koh Samui, Thailand, 84320",,,,False,False,True,False,True,True,False,False,False,True,True,True,False,False,False,False,0,8.6,8.3,8.2,8.3,8.6
Casa De Mar Hotel (SHA Extra Plus),187,4 star,"8.6
Excellent
1,283 reviews","English, Filipino, Thai","1,283 reviews","154/16 M.2, Chaweng Beach, Bophut, Koh Samui, Chaweng, Koh Samui, Thailand, 84320",4,60,1,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,13,8.8,8.6,8.3,7.7,9.1
